Guid,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,Website,Industry,AnnualRevenue,NumberOfEmployees,Description,Jigsaw,AccountSource,SicDesc,SBQQ__AssetQuantitiesCombined__c,SBQQ__CoTermedContractsCombined__c,SBQQ__ContractCoTermination__c,SBQQ__IgnoreParentContractedPrices__c,SBQQ__PreserveBundle__c,SBQQ__PriceHoldEnd__c,SBQQ__RenewalModel__c,SBQQ__RenewalPricingMethod__c,SBQQ__TaxExempt__c,SBQQ__CoTerminationEvent__c,test_field_16__c,test_field_17__c,test_extra__c,test_field_3__c,test_field__c,test_field_4__c,test_field_5__c,test_field_6__c,test_field_7__c,test_field_8__c,test_field_9__c,test_field_10__c,test_field_11__c,test_field_12__c,test_field_13__c,test_field_14__c,test_field_15__c,test_geolocation_bsn__Latitude__s,test_geolocation_bsn__Longitude__s,test_bsn_2__Latitude__s,test_bsn_2__Longitude__s,TestPickList__c,TestPVSAnother__c,TestPVSAccount__c
5a5d540e-34f1-4cc7-b76d-9d6f5d13dc02,Bhuvana Bulk Account 24973 Name,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5c49aa66-7c01-46d6-afa3-aec14f2f33df,Bhuvana Bulk Account 24974 Name,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5d3bdbd1-cdff-4cb8-a86c-98eaed271b7b,Bhuvana Bulk Account 24994 Name,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
74bb1734-8cf5-48ab-8c18-9705322f00da,Bhuvana Bulk Account 24986 Name,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7b876248-213e-414b-a8d3-0a43a258e82f,Bhuvana Bulk Account 24983 Name,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7c5de07b-e0e2-496d-b2af-24081cf0d030,Bhuvana Bulk Account 24969 Name,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
86f664f8-3f1e-4b0c-9aff-36dac3debc6c,Bhuvana Bulk Account 24988 Name,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8de9b772-9769-4340-a03c-e9c367ea0b6c,Bhuvana Bulk Account 24993 Name,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
985cd3d1-d30a-4120-a4de-adc158ffd4d6,Bhuvana Bulk Account 24972 Name,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
b0078ed4-450b-4bb0-8c67-751e3feee4ef,Bhuvana Bulk Account 24968 Name,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
b484d709-159f-4685-b033-8fe3ac222f58,Bhuvana Bulk Account 24982 Name,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
b6ba22f9-ec3e-4357-b852-ae9f5b8de43d,Bhuvana Bulk Account 24980 Name,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
be2c9a53-a239-447d-b931-9112b9aa234e,Bhuvana Bulk Account 24978 Name,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ce738cc9-e318-4cd8-a795-ae3ab0305a6c,Bhuvana Bulk Account 24996 Name,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
db7d1799-0806-43b4-b382-3f9f19ad1b62,Bhuvana Bulk Account 24977 Name,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
